ts_ms,distancia,banda
43382,66.63,FAR
43532,69.63,FAR
43682,69.63,FAR
43832,82.71,FAR
43983,82.71,FAR
44133,82.71,FAR
44283,82.71,FAR
44433,82.71,FAR
44584,79.87,FAR
44734,76.69,FAR
44884,72.65,FAR
45034,72.63,FAR
45185,66.54,FAR
45335,55.39,FAR
45485,52.46,FAR
45635,49.46,FAR
45786,49.44,FAR
45936,45.41,FAR
46086,42.41,FAR
46236,35.33,NEAR
46386,29.29,NEAR
46536,29.29,NEAR
46686,25.21,NEAR
46836,25.21,NEAR
46986,18.13,NEAR
47137,18.13,NEAR
47287,18.16,NEAR
47437,15.13,NEAR
47587,15.13,NEAR
47738,15.09,CLOSE
47888,15.16,CLOSE
48039,15.13,CLOSE
48189,8.04,CLOSE
48339,8.04,CLOSE
48489,8.04,CLOSE
48639,8.04,CLOSE
48789,18.13,CLOSE
48939,25.21,CLOSE
49089,35.29,CLOSE
49240,39.38,CLOSE
49390,45.38,NEAR
49541,52.46,NEAR
49691,55.46,NEAR
49841,59.54,NEAR
49991,62.55,NEAR
50141,66.63,NEAR
50291,66.63,FAR
50442,66.63,FAR
50592,69.63,FAR
50743,69.63,FAR
50893,79.71,FAR
51043,79.71,FAR
51193,82.71,FAR
51344,86.71,FAR
51494,86.71,FAR
51644,86.78,FAR
51794,79.71,FAR
51945,69.63,FAR
52095,62.55,FAR
52246,59.53,FAR
52397,55.48,FAR
52547,49.37,FAR
52697,45.43,FAR
52847,42.34,FAR
52997,39.38,FAR
53147,32.29,NEAR
53298,29.28,NEAR
53448,29.22,NEAR
53598,29.22,NEAR
53748,25.33,NEAR
53899,25.21,NEAR
54050,25.21,NEAR
54201,22.21,NEAR
54351,18.13,NEAR
54501,15.13,NEAR
54652,12.13,NEAR
54802,12.13,CLOSE
54952,12.13,CLOSE
55103,12.13,CLOSE
55253,18.13,CLOSE
55404,29.29,CLOSE
55555,32.29,CLOSE
55705,42.38,CLOSE
55855,45.38,NEAR
56005,52.46,NEAR
56156,55.50,NEAR
56306,55.46,NEAR
56456,59.46,NEAR
56606,66.56,NEAR
56756,69.54,FAR
56906,72.66,FAR
57056,72.63,FAR
57206,72.66,FAR
57356,76.71,FAR
57506,76.63,FAR
57656,76.63,FAR
57806,86.69,FAR
57957,86.71,FAR
58107,86.71,FAR
58257,86.71,FAR
58408,79.73,FAR
58558,76.63,FAR
58708,69.61,FAR
58859,62.55,FAR
59009,59.54,FAR
59160,55.46,FAR
59311,52.46,FAR
59461,49.46,FAR
59612,39.38,FAR
59763,32.29,FAR
59913,25.21,NEAR
60063,25.21,NEAR
60213,22.21,NEAR
60363,22.21,NEAR
60514,22.21,NEAR
60664,22.21,NEAR
60814,18.13,NEAR
60965,18.13,NEAR
61115,18.13,NEAR
61266,15.13,CLOSE
61416,8.04,CLOSE
61566,8.04,CLOSE
61716,8.04,CLOSE
61867,12.13,CLOSE
62017,18.13,CLOSE
62167,25.19,CLOSE
62317,32.22,CLOSE
62467,39.29,CLOSE
62618,42.41,NEAR
62768,45.36,NEAR
62918,49.37,NEAR
63069,52.46,NEAR
63219,52.46,NEAR
63369,52.46,NEAR
63519,55.46,NEAR
63669,55.46,NEAR
63819,59.54,NEAR
63969,62.55,NEAR
64119,66.63,FAR
64269,69.63,FAR
64419,72.63,FAR
64569,76.71,FAR
64719,76.71,FAR
64869,79.71,FAR
65019,82.71,FAR
65169,82.71,FAR
65319,82.71,FAR
65470,82.71,FAR
65620,79.71,FAR
65770,72.63,FAR
65920,62.55,FAR
66070,59.54,FAR
66220,55.46,FAR
66370,52.46,FAR
66521,49.46,FAR
66671,49.46,FAR
66821,45.38,FAR
66972,39.38,FAR
67123,35.29,NEAR
67273,25.21,NEAR
67423,22.21,NEAR
67573,18.13,NEAR
67724,15.13,NEAR
67874,12.13,NEAR
68024,12.13,NEAR
68174,12.13,CLOSE
68324,12.13,CLOSE
68475,12.13,CLOSE
68625,12.13,CLOSE
68775,32.29,CLOSE
68925,39.38,CLOSE
69075,39.38,CLOSE
69225,42.38,NEAR
69376,45.36,NEAR
69526,49.46,NEAR
69676,52.50,NEAR
69826,62.55,NEAR
