ts_ms,distancia,banda
44907,49.46,FAR
45057,49.44,FAR
45207,49.39,FAR
45358,49.36,FAR
45508,49.55,FAR
45659,49.46,FAR
45809,49.46,NEAR
45959,49.46,NEAR
46109,52.46,NEAR
46260,52.46,NEAR
46410,52.46,NEAR
46560,49.46,NEAR
46710,49.46,NEAR
46860,45.38,NEAR
47010,42.38,NEAR
47160,42.38,NEAR
47310,52.46,NEAR
47460,52.46,NEAR
47611,52.46,NEAR
47761,55.46,NEAR
47911,62.55,NEAR
48061,66.63,NEAR
48211,66.63,FAR
48362,69.63,FAR
48512,72.63,FAR
48662,72.63,FAR
48813,72.63,FAR
48963,76.71,FAR
49113,76.71,FAR
49263,76.71,FAR
49413,76.71,FAR
49563,69.63,FAR
49713,66.63,FAR
49864,59.54,FAR
50015,55.46,FAR
50165,52.44,FAR
50315,49.46,FAR
50465,49.46,FAR
50616,49.39,FAR
50766,49.37,FAR
50917,49.46,FAR
51067,45.36,FAR
51217,45.43,NEAR
51367,45.43,NEAR
51518,45.40,NEAR
51668,45.38,NEAR
51818,45.48,NEAR
51968,45.38,NEAR
52119,52.46,NEAR
52269,52.46,NEAR
52419,52.46,NEAR
52570,55.46,NEAR
52720,55.46,NEAR
52870,55.46,NEAR
53020,55.46,NEAR
53170,59.54,NEAR
53320,62.55,FAR
53470,62.55,FAR
53620,62.55,FAR
53771,66.63,FAR
53921,69.63,FAR
54071,69.63,FAR
54221,69.63,FAR
54371,69.63,FAR
54521,72.63,FAR
54672,72.63,FAR
54822,72.63,FAR
54972,72.63,FAR
55123,72.63,FAR
55273,72.63,FAR
55423,72.63,FAR
55574,66.63,FAR
55724,59.54,FAR
55874,55.46,FAR
56025,52.46,FAR
56175,45.38,FAR
56325,45.38,FAR
56475,45.38,FAR
56625,45.38,FAR
56776,42.38,NEAR
56926,42.41,NEAR
57077,45.43,NEAR
57227,55.45,NEAR
57378,55.50,NEAR
57528,59.54,NEAR
57679,62.55,NEAR
57829,62.55,NEAR
57979,66.63,FAR
58129,66.63,FAR
58280,69.63,FAR
58430,69.63,FAR
58580,69.63,FAR
58731,72.63,FAR
58881,76.71,FAR
59031,76.71,FAR
59181,76.71,FAR
59331,76.71,FAR
59481,79.71,FAR
59631,79.71,FAR
59781,82.71,FAR
59931,79.71,FAR
60081,72.63,FAR
60231,69.63,FAR
60381,66.63,FAR
60531,62.55,FAR
60681,59.54,FAR
60831,55.46,FAR
60982,55.46,FAR
61132,52.46,FAR
61282,52.46,FAR
61432,52.46,FAR
61582,52.46,FAR
61732,52.46,FAR
61882,49.46,FAR
62032,49.46,FAR
62182,49.46,FAR
62333,45.38,FAR
62483,45.38,NEAR
62633,45.38,NEAR
62783,42.38,NEAR
62933,42.38,NEAR
63083,42.38,NEAR
63234,45.38,NEAR
63384,55.46,NEAR
63534,59.54,NEAR
63684,62.55,NEAR
63834,66.59,NEAR
63984,66.63,FAR
64134,69.63,FAR
64284,72.60,FAR
64435,76.73,FAR
64586,76.69,FAR
64736,76.71,FAR
64886,76.71,FAR
65036,69.63,FAR
65187,59.54,FAR
65338,55.50,FAR
65488,45.38,FAR
65639,42.38,FAR
65790,39.38,FAR
65940,39.38,FAR
66090,39.38,NEAR
66240,39.38,NEAR
66390,45.38,NEAR
