ts_ms,sensor_id,valor_cm,valor_avg,estado_id,estado_nombre
19948,HCSR04_Radar,42.39,60.27,0,FAR
20098,HCSR04_Radar,42.31,55.60,0,FAR
20248,HCSR04_Radar,42.45,52.21,0,FAR
20398,HCSR04_Radar,42.02,49.14,1,NEAR
20548,HCSR04_Radar,35.29,46.11,1,NEAR
20698,HCSR04_Radar,32.28,42.70,1,NEAR
20848,HCSR04_Radar,29.17,39.41,1,NEAR
20998,HCSR04_Radar,22.24,36.02,1,NEAR
21149,HCSR04_Radar,22.21,33.50,1,NEAR
21299,HCSR04_Radar,22.21,30.98,1,NEAR
21449,HCSR04_Radar,18.13,27.94,1,NEAR
21599,HCSR04_Radar,18.13,24.96,1,NEAR
21750,HCSR04_Radar,18.13,22.81,1,NEAR
21900,HCSR04_Radar,15.13,20.67,1,NEAR
22050,HCSR04_Radar,15.13,18.91,2,CLOSE
22200,HCSR04_Radar,15.13,18.02,2,CLOSE
22351,HCSR04_Radar,15.13,17.14,2,CLOSE
22501,HCSR04_Radar,15.13,16.25,2,CLOSE
22652,HCSR04_Radar,15.13,15.88,2,CLOSE
22802,HCSR04_Radar,18.13,15.88,2,CLOSE
22952,HCSR04_Radar,25.21,16.76,2,CLOSE
23102,HCSR04_Radar,32.29,18.91,2,CLOSE
23252,HCSR04_Radar,42.38,22.31,2,CLOSE
23402,HCSR04_Radar,45.38,26.10,1,NEAR
23552,HCSR04_Radar,55.46,31.14,1,NEAR
23702,HCSR04_Radar,59.54,36.69,1,NEAR
23852,HCSR04_Radar,62.55,42.62,1,NEAR
24002,HCSR04_Radar,66.63,48.68,1,NEAR
24152,HCSR04_Radar,69.63,54.23,1,NEAR
24302,HCSR04_Radar,69.63,58.90,0,FAR
24452,HCSR04_Radar,69.63,62.31,0,FAR
24602,HCSR04_Radar,72.63,65.71,0,FAR
24753,HCSR04_Radar,79.71,68.74,0,FAR
24904,HCSR04_Radar,79.87,71.28,0,FAR
25054,HCSR04_Radar,79.71,73.43,0,FAR
25204,HCSR04_Radar,79.73,75.07,0,FAR
