ts_ms,humedad,humedad_avg,estado
106794,70.500,71.063,ALERT
107294,73.000,72.000,ALERT
107795,69.000,72.125,ALERT
108295,71.500,71.625,ALERT
108795,71.500,70.375,ALERT
109295,69.000,69.938,ALERT
109795,73.000,70.688,ALERT
110296,69.500,70.875,ALERT
110797,67.000,70.438,ALERT
111297,68.000,69.813,ALERT
111797,73.000,70.313,ALERT
112297,74.000,70.625,ALERT
112797,69.000,70.313,ALERT
113297,69.000,70.313,ALERT
113797,73.000,70.313,ALERT
114297,75.000,71.000,ALERT
114797,69.500,71.313,ALERT
115297,68.000,71.313,ALERT
115797,67.000,70.563,ALERT
116298,67.000,69.688,ALERT
116799,67.000,69.438,ALERT
117299,72.500,69.875,ALERT
117799,74.000,70.000,ALERT
118299,75.500,70.063,ALERT
118799,76.500,70.938,ALERT
119300,69.000,71.063,ALERT
119800,67.000,71.063,ALERT
120300,69.000,71.313,ALERT
120800,71.500,71.875,ALERT
121300,68.000,71.313,ALERT
121800,64.000,70.063,ALERT
122300,68.000,69.125,ALERT
122800,69.000,68.188,ALERT
123301,64.500,67.625,OK
123802,62.000,67.000,OK
124303,65.500,66.563,OK
124803,69.500,66.313,OK
125303,64.000,65.813,OK
125803,66.500,66.125,OK
126303,69.500,66.313,OK
126803,72.500,66.750,OK
127303,69.500,67.375,OK
127803,74.000,68.875,OK
128304,74.000,69.938,OK
128804,74.000,70.500,ALERT
129304,73.000,71.625,ALERT
129804,68.000,71.813,ALERT
130305,64.500,71.188,ALERT
130806,63.000,70.000,ALERT
131306,68.000,69.813,ALERT
131806,69.500,69.250,ALERT
132306,71.500,68.938,ALERT
132806,71.500,68.625,ALERT
133307,71.500,68.438,ALERT
133807,69.500,68.625,ALERT
134307,62.000,68.313,ALERT
134807,61.000,68.063,ALERT
135308,64.000,67.563,OK
135808,64.500,66.938,OK
136309,64.500,66.063,OK
136810,65.500,65.313,OK
137310,67.000,64.750,OK
137810,69.000,64.688,OK
138310,72.500,66.000,OK
138810,74.000,67.625,OK
139310,72.500,68.688,OK
139810,68.000,69.125,OK
140310,68.000,69.563,OK
140810,72.500,70.438,ALERT
141310,73.000,71.188,ALERT
141810,73.000,71.688,ALERT
142310,70.500,71.438,ALERT
142810,67.000,70.563,ALERT
143311,66.500,69.813,ALERT
143812,66.500,69.625,ALERT
144313,66.500,69.438,ALERT
144813,66.500,68.688,ALERT
145313,67.000,67.938,OK
145813,74.000,68.063,OK
146313,82.500,69.563,OK
146813,84.000,71.688,ALERT
147314,80.000,73.375,ALERT
147814,72.500,74.125,ALERT
148314,70.500,74.625,ALERT
148814,66.500,74.625,ALERT
149315,66.500,74.563,ALERT
149815,64.000,73.313,ALERT
150315,69.500,71.688,ALERT
150815,76.500,70.750,ALERT
151315,79.000,70.625,ALERT
151816,79.000,71.438,ALERT
152316,75.000,72.000,ALERT
152816,67.000,72.063,ALERT
153316,66.500,72.063,ALERT
153817,66.500,72.375,ALERT
154318,66.500,72.000,ALERT
154818,66.500,70.750,ALERT
155318,66.500,69.188,ALERT
155818,66.500,67.625,OK
156318,66.500,66.563,OK
156818,66.500,66.500,OK
157318,66.500,66.500,OK
157818,66.500,66.500,OK
158318,66.500,66.500,OK
158818,66.500,66.500,OK
159319,73.000,67.313,OK
159819,79.000,68.875,OK
160319,75.500,70.000,ALERT
160819,74.000,70.938,ALERT
161319,72.500,71.688,ALERT
161819,72.500,72.438,ALERT
162319,72.500,73.188,ALERT
162819,74.000,74.125,ALERT
163319,74.000,74.250,ALERT
163819,75.000,73.750,ALERT
164319,75.000,73.688,ALERT
164819,75.000,73.813,ALERT
165319,68.000,73.250,ALERT
165819,59.500,71.625,ALERT
166319,57.000,69.688,ALERT
166819,60.500,68.000,OK
167320,67.000,67.125,OK
